,msg_sender,sender_text,quoted_sender,quoted_text,msg_datetime,read_more_btn
0,Txmonitoring,Fiber incident update at 00:00_26/01,,,2023-01-26 00:10,
1,,,,,,
2,Shahin Vaia,"Pending Incidents at 00:00_26/01/2023

Fiber Network:

1. BSGND06 (Mahilara) to MDSDR06 (Somoddarbazar,Madaripur) BTCL DWDM fiber is up but still high loss persists
Impact: No outage 
Severity: C-3 
FT: 14:38_24/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL

2. FPBHN04 (Pukhuria 32m land) to FPNGR02 (Talma land) BTCL DWDM fiber is down
Impact: No outage
Severity: C-3
FT: 15:08_25/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL

3. NGSNG01 (Kachpur) to CMDKN01 (Gauripur) BTCL DWDM fiber is down
Impact: No outage 
Severity: C-3
FT: 16:16_25/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL

ICX/IIG: 

1. Robi-Alekharchar to SCL secondary IIG route is down 
Impact: No outage (traffic is up through redundant path)
Severity: C-3
FT: 15:40_25/01
ERT: 04 hrs
…",,,2023-01-26 00:21,Read more
3,Md. Hasib Ur Rahman,"Update of Site Down at 01:00 On 26-01-2023

Region: 2G/3G/4G
National: 31/8/27

DHK_M: 1/0/2
DHK_N: 2/1/6
DHK_S: 1/0/0
DHK_O: 1/0/2
CTG_M: 5/5/6
CTG_N: 1/1/1
CTG_S: 1/0/1
COM: 1/0/0
NOA: 1/0/1
SYL: 2/0/3
MYM: 1/0/1
BAR: 2/0/2
KHL: 11/0/0
KUS: 0/1/1
RAJ: 0/0/0
RANG: 1/0/1",,,2023-01-26 01:09,
4,Shahin Vaia,"General notification (Closed):
IIG to SMW4 circuits are up as confirmed by IIG (Aamara,BTCL, Level3 and others)
Impact: Customers faced intermittent slow data experience and this impact was applicable for all MNO and data users of BD.
FT: 18:30_25/01
RT: 00:05_26/01
DUR: 05:35
Cause: Fiber cut between TUAS to EQUINIX BSCCL route
Action: Concern team restored their fibers
Unit: BSCCL
Tracking ID: RDCNM2301251830",,,2023-01-26 01:30,
5,Arif RANFLS,"26-Jan'23@00:15
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-26 01:49,
6,Md. Hasib Ur Rahman,"Update of Site Down at 02:00 On 26-01-2023

Region: 2G/3G/4G
National: 13/4/18

DHK_M: 0/0/1
DHK_N: 2/1/6
DHK_S: 1/0/0
DHK_O: 0/0/0
CTG_M: 1/1/1
CTG_N: 1/1/1
CTG_S: 1/0/1
COM: 1/0/0
NOA: 1/0/1
SYL: 1/0/2
MYM: 1/0/1
BAR: 3/0/3
KHL: 0/0/0
KUS: 0/1/1
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-26 02:05,
7,Arif RANFLS,"26-Jan'23@01:45
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-26 02:36,
8,Alauddin Vai,"DG sites update at 02:00 on 26-01-2023

CC:1
CXMHK02(Edotco): 18:06 25-01-23

DHK:1
NGRPG49(AT): 00:35 26-01-23


@Arif RANFLS vi, plz check",,,2023-01-26 03:18,
9,Arif RANFLS,checking,Alauddin Vai,"DG sites update at 02:00 on 26-01-2023

CC:1
CXMHK02(Edotco): 18:06 25-01-23

DHK:1
NGRPG49(AT): 00:35 26-01-23


 vi, plz check",2023-01-26 03:18,
10,Txmonitoring,Fiber incident update at 03:00_26/01,,,2023-01-26 03:26,
11,Arif RANFLS,"DG sites update at 02:25 on 26-01-2023

CC:1
CXMHK02(Edotco): 
2G+3G: Found up
4G: Heartbeat Failure (Suspecting TX issue)

DHK:1
NGRPG49(AT): Need to checked Power Issue",Alauddin Vai,"DG sites update at 02:00 on 26-01-2023

CC:1
CXMHK02(Edotco): 18:06 25-01-23

DHK:1
NGRPG49(AT): 00:35 26-01-23


 vi, plz check",2023-01-26 03:29,
